seed,variant,variant_label,network_treatment,network_architecture,network_depth,network_max_width,network_hidden_units,policy_network_type,advantage_network_type,baseline_network_type,policy_network_parameters,advantage_network_parameters_per_player,baseline_network_parameters_per_player,total_network_parameters,iteration,nodes_touched,wall_clock_seconds,cumulative_traversal_seconds,cumulative_advantage_training_seconds,cumulative_baseline_training_seconds,cumulative_policy_training_seconds,cumulative_supervised_training_seconds,cumulative_parallel_sync_seconds,cumulative_replay_refresh_seconds,learning_rate,nash_conv,exploitability,policy_value_player_0,average_policy_value,policy_value_error,average_policy_value_error,policy_loss,advantage_loss_player_0,advantage_loss_player_1,baseline_loss_player_0,baseline_loss_player_1,advantage_grad_norm_player_0,advantage_grad_norm_player_1,baseline_grad_norm_player_0,baseline_grad_norm_player_1,policy_grad_norm,policy_training_events,policy_gradient_steps_total,strategy_buffer_size,advantage_buffer_size_player_0,advantage_buffer_size_player_1,baseline_buffer_size_player_0,baseline_buffer_size_player_1,legal_action_mass_mean,legal_action_mass_min,policy_entropy_mean,advantage_target_count_sampled,advantage_target_mean,advantage_target_variance,advantage_target_abs_mean,importance_weight_mean,importance_weight_std,processed_advantage_target_mean_player_0,processed_advantage_target_variance_player_0,processed_advantage_target_abs_mean_player_0,target_standardization_mean_player_0,target_standardization_scale_player_0,target_clip_fraction_player_0,processed_advantage_target_mean_player_1,processed_advantage_target_variance_player_1,processed_advantage_target_abs_mean_player_1,target_standardization_mean_player_1,target_standardization_scale_player_1,target_clip_fraction_player_1,baseline_reward_mean_sampled,baseline_reward_variance_sampled
2025,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,100,201793,4903.353542299999,50.595040714026254,44.06693964503211,4804.6229150539875,1.484393718004867,4850.1742484170245,0.0,0.0,0.003,1.9597862092158556,0.9798931046079278,-0.1515011496930685,-0.1515011496930685,0.06589514969306849,0.06589514969306849,3.427008867263794,12003.6357421875,13198.57421875,4.718405723571777,6.875662803649902,306.87678569906814,195.76121479974594,5.989144651587536,4.827316645138946,3.8849190158408136,4,400,137793,39649,29296,68989,68804,0.8040798277506838,0.1324436217546463,0.3050756671169945,30000,-0.35632430656769626,320.0687202074922,3.4836009056389954,1.0029261455284575,0.11630942363955574,-0.3004087209701538,218.64122009277344,2.7597179412841797,0.0,1.0,0.0,-0.8561198115348816,342.0673828125,3.5305652618408203,0.0,1.0,0.0,-0.0245,6.291899750000001
2025,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,125,255386,6136.437641582001,64.21073703302682,55.63543067203864,6011.529941476001,1.8416891130036674,6069.007061261043,0.0,0.0,0.003,1.908763456446584,0.954381728223292,-0.21552390968327678,-0.21552390968327678,0.12991790968327677,0.12991790968327677,4.434186935424805,28557.087890625,37884.984375,6.908458709716797,5.579998016357422,421.8511497390157,2287.0532591941746,6.8556203912203575,4.411788247013816,3.1337898080468065,5,500,175386,50851,36900,87885,87501,0.7999906720360741,0.023852422833442688,0.25125405020276476,30000,-0.43954816007809716,270.8264185714839,3.394488050939919,1.002767903767823,0.1199323946929118,-0.13306431472301483,421.0757751464844,3.3031394481658936,0.0,1.0,0.0,0.012714684009552002,497.8743591308594,4.154553413391113,0.0,1.0,0.0,-0.0517,6.385427110000001
2025,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,150,307757,7375.703849475001,77.4356699150594,67.10272995901323,7225.071915885041,2.229813025005569,7294.404458869059,0.0,0.0,0.003,1.905126977286711,0.9525634886433555,-0.1753842488668036,-0.1753842488668036,0.08977824886680359,0.08977824886680359,5.434080600738525,24119.3203125,39943.30859375,6.081779956817627,6.787632942199707,1136.9588342663315,886.3476954298375,4.178938616236646,4.954020503236767,2.922909564899226,6,600,211757,61764,44222,106270,105487,0.7931294275913388,0.15439100563526154,0.21988049292871836,30000,-0.43611803365042434,290.1215841872178,3.360392200042773,1.004071007264698,0.11428288448489032,-0.8351820111274719,351.5668640136719,3.3573551177978516,0.0,1.0,0.0,-0.3368426561355591,459.36328125,4.0578532218933105,0.0,1.0,0.0,-0.0696,6.791555840000001
2025,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,175,359212,8617.611896775998,90.44353490601497,78.58882081900083,8441.473553978023,2.5978679670079146,8522.660242764032,0.0,0.0,0.003,1.7078937841946706,0.8539468920973353,-0.07607924763440843,-0.07607924763440843,0.00952675236559157,0.00952675236559157,5.863736629486084,21690.751953125,6566.857421875,6.067286968231201,4.6534647941589355,1588.805235326883,600.8587944959564,3.8845012508926127,2.851074230229775,5.081891819527761,7,700,247212,72091,51564,124040,123172,0.7927957172069,0.06638260185718536,0.31332518428241163,30000,-0.3226065821085746,272.6219340947954,3.308809087025188,1.0014723330302726,0.1227767310096579,-0.6621837019920349,200.2677764892578,3.1151063442230225,0.0,1.0,0.0,-0.40536201000213623,66.21484375,3.012918710708618,0.0,1.0,0.0,0.0096,6.56950784
31415,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,25,48146,1101.1642386480016,11.84606812500715,8.430000625972752,1079.8883757619842,0.35654463399987435,1088.6749210219568,0.0,0.0,0.003,3.609673257530118,1.804836628765059,-0.35911565900574033,-0.35911565900574033,0.2735096590057403,0.2735096590057403,1.0828523635864258,3120.828857421875,7573.35595703125,6.806567192077637,6.057940483093262,280.6153567955307,637.4296373677836,3.3812022245289106,3.6702365631512754,1.061787227293818,1,100,32146,9216,6890,16133,16013,0.738212142867269,0.1596972942352295,0.3837469497076095,30000,-0.4444492757449703,359.1858995605081,3.8003650497236756,0.9971581934254915,0.12853380353451785,-0.17099328339099884,246.8004913330078,3.4436562061309814,0.0,1.0,0.0,-0.05352817103266716,527.3161010742188,4.501244068145752,0.0,1.0,0.0,-0.0369,6.822538390000002
31415,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,50,100005,2331.9536631350056,24.985453858971596,19.571247196967306,2285.362323002977,0.7347636039994541,2305.668333803944,0.0,0.0,0.003,2.661272624110558,1.330636312055279,-0.31178747295042175,-0.31178747295042175,0.22618147295042174,0.22618147295042174,1.7822842597961426,8407.5380859375,5602.830078125,5.413560390472412,5.453440189361572,444.27179547956945,409.8409099892042,4.525798996198155,4.13459779446701,0.9603393384707357,2,200,68005,19683,14365,34142,33863,0.8329067777012824,0.319828599691391,0.36267420617082285,30000,-0.40764239077201736,306.35175378057704,3.663623813200059,0.9998673595385975,0.12098093080205263,-0.7073705792427063,302.1494140625,3.493032455444336,0.0,1.0,0.0,-0.34588637948036194,420.6040954589844,3.982226610183716,0.0,1.0,0.0,-0.0431,7.212642390000001
31415,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,75,153065,3576.8222976930047,38.60510260900628,31.219220504943223,3503.927918793961,1.1200081979986862,3536.267147496903,0.0,0.0,0.003,2.2564902713557973,1.1282451356778986,-0.24106044045059016,-0.24106044045059016,0.15545444045059015,0.15545444045059015,2.5651485919952393,25477.896484375,16723.5546875,5.6507720947265625,6.410852432250977,1153.1413462375156,341.17746801538044,3.3473301191899947,4.3114154725046525,1.762455354395043,3,300,105065,30490,22065,52596,52469,0.7812766897877736,0.002409640932455659,0.17110668697485287,30000,-0.3593305902940532,345.35886086994435,3.6771562547396868,1.0023624964237279,0.11918128305937783,-0.05923167243599892,482.3031921386719,3.620028495788574,0.0,1.0,0.0,-0.3851752281188965,563.6757202148438,4.423027515411377,0.0,1.0,0.0,-0.0779,7.015631590000002
31415,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,100,204440,4819.054474155004,51.603775546005636,42.94085546495626,4720.419896066938,1.4847106679953868,4764.84546219989,0.0,0.0,0.003,1.885125085926306,0.942562542963153,-0.1083415891081777,-0.1083415891081777,0.022735589108177703,0.022735589108177703,3.17022442817688,17679.5703125,30944.490234375,5.737699508666992,5.74511194229126,878.159311145231,656.4427113346964,3.956052065393788,3.7786335042896635,2.44091823152969,4,400,140440,40900,29371,70343,70097,0.7587559446910745,0.046487219631671906,0.22989219572391784,30000,-0.495438629402065,267.59751610672316,3.5887979433315804,1.0023515924047843,0.11516448453325048,-1.02757728099823,302.4237060546875,3.2559783458709717,0.0,1.0,0.0,-0.6127831339836121,576.5779418945312,4.286416530609131,0.0,1.0,0.0,-0.0418,6.955852759999999
31415,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,125,255389,6060.0231891540025,64.38532353798655,54.46225937298732,5936.053870255935,1.8721083939890377,5992.3882380229115,0.0,0.0,0.003,1.7435164750015304,0.8717582375007652,-0.1720327998905712,-0.1720327998905712,0.08642679989057118,0.08642679989057118,4.061962604522705,14851.7783203125,52435.578125,6.21287202835083,5.853611946105957,535.3935269738155,1194.9070626759226,3.985072707806162,3.9540387588086707,2.6953215522076888,5,500,175389,51118,36679,87940,87449,0.8156126886751736,0.17463065683841705,0.24976311835175483,30000,-0.3793446456823343,311.5000598441993,3.459189478630681,1.0004440822187017,0.12209926495173587,-0.2727194130420685,232.0464630126953,3.218870162963867,0.0,1.0,0.0,-0.7540170550346375,767.2809448242188,4.417457580566406,0.0,1.0,0.0,-0.0339,6.793350789999998
31415,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,150,304867,7295.521278023996,77.08717176697246,65.79455712194613,7146.51867313189,2.228150395996636,7214.541380649833,0.0,0.0,0.003,1.8740595474046398,0.9370297737023199,-0.2011955362532039,-0.2011955362532039,0.11558953625320391,0.11558953625320391,4.476761817932129,21750.412109375,48809.10546875,4.720492362976074,6.420469284057617,618.8639282347658,358.77952769003184,3.6418534796379642,3.7292660288744623,3.993910316980487,6,600,208867,60761,43770,104755,104112,0.7762099344681701,0.0066689359955489635,0.19869937772868623,30000,-0.42017383105326445,299.3720348101632,3.4683968374061087,0.9982186694089255,0.128893241302566,-0.2478739470243454,383.8951110839844,3.4437215328216553,0.0,1.0,0.0,-0.6020046472549438,498.6849060058594,4.0222296714782715,0.0,1.0,0.0,-0.0321,6.634069589999999
31415,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,175,356244,8532.606084893006,89.96203340804641,77.02493333797611,8358.499502195868,2.5885139589954633,8438.11294949284,0.0,0.0,0.003,1.8103035738288489,0.9051517869144244,-0.18894069180055473,-0.18894069180055473,0.10333469180055473,0.10333469180055473,5.543838977813721,23940.021484375,33692.2578125,5.3243207931518555,5.427534580230713,1007.8518380648782,567.232669713987,3.571590820723131,3.103991435484484,3.675974018015369,7,700,244244,71087,51120,122495,121749,0.8112683276995085,0.12935078144073486,0.2493299994102798,30000,-0.4110586424851014,327.8175526344739,3.5959168363754173,1.0023295041232791,0.11180692021815505,-0.5319327712059021,401.5270080566406,3.4611101150512695,0.0,1.0,0.0,-0.08947616815567017,312.77471923828125,3.7911951541900635,0.0,1.0,0.0,-0.0379,6.342263589999999
27182,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,25,52053,1188.8979578360013,13.271696645082557,9.307507230012561,1165.2989110479393,0.37160990400298033,1174.9780281819549,0.0,0.0,0.003,3.446686174641157,1.7233430873205784,-0.04956504624262503,-0.04956504624262503,0.03604095375737497,0.03604095375737497,1.1057850122451782,5364.04052734375,2607.113525390625,6.1014885902404785,5.251292705535889,128.5702716179034,258.3111808502384,3.8009806417803906,4.813110174924195,0.5489621317828585,1,100,36053,10250,7789,18051,18002,0.7314802586333826,0.2352612167596817,0.3216297622695081,30000,-0.18080605326602237,394.60066695993874,3.8129726721837804,1.003317527768018,0.11123346020373406,-0.02376645803451538,325.7093505859375,3.2385189533233643,0.0,1.0,0.0,-0.5529437065124512,375.01025390625,3.942272901535034,0.0,1.0,0.0,-0.0431,6.791042390000001
27182,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,50,104029,2429.431360950999,26.346499242077698,20.483586143993307,2380.5582171319547,0.7473819330043625,2401.7891852089524,0.0,0.0,0.003,3.085937258048264,1.542968629024132,-0.23392871785147074,-0.23392871785147074,0.14832271785147072,0.14832271785147072,2.0284907817840576,14214.4111328125,22392.384765625,5.335903167724609,5.890227317810059,549.7974331604543,468.00599620938783,3.531792758639759,5.03789280028333,1.3818968519752874,2,200,72029,20556,15450,35933,36096,0.7869595145457424,0.10439768433570862,0.33399595351978517,30000,-0.29366463202570253,301.59868677597063,3.652739787945555,1.0023129720873118,0.11470643593975537,-0.17050813138484955,464.2149658203125,3.580773115158081,0.0,1.0,0.0,-0.6019272208213806,730.1183471679688,4.770820140838623,0.0,1.0,0.0,-0.0336,7.01727104
27182,candidate_advantage_2x128_policy_baseline_2x32,Candidate advantage 2x128,architecture_selected_candidate,policy_32x32_advantage_128x128_baseline_32x32,2,128,384,mlp,mlp,mlp,2147,20867,2147,48175,75,155973,3670.970384996006,39.759284440107876,31.976781677032704,3596.1732570298627,1.1199921299994458,3629.270030836895,0.0,0.0,0.003,2.371185821957978,1.185592910978989,-0.1896846394594337,-0.1896846394594337,0.1040786394594337,0.1040786394594337,2.710423707962036,10810.2109375,18776.751953125,6.30714225769043,6.477323055267334,500.91377727061024,566.4442572429084,8.53448501292244,3.086957602264801,1.570804831674509,3,300,107973,30701,23254,53821,54152,0.8158244113437831,0.06755420565605164,0.3221147494201065,30000,-0.31819211726176244,207.12608922340124,3.3083362541109325,1.0023042920244052,0.11381375433886692,0.02263699471950531,296.9258728027344,3.295923948287964,0.0,1.0,0.0,-0.029490312561392784,461.3431091308594,3.9708945751190186,0.0,1.0,0.0,-0.002,6.382795999999999
